covariate,level,treatment_arm,treated_mean,control_mean,difference,smd,abs_smd,p_value,balanced
recency,,Mens E-Mail,5.773642464917633,5.749694921618324,0.02394754329930926,0.006831532454259954,0.006831532454259954,0.48074326973973214,True
history,,Mens E-Mail,242.83593091472284,240.8826532432179,1.9532776715049351,0.00761286832154239,0.00761286832154239,0.43201288940482113,True
mens,,Mens E-Mail,0.5509456985967053,0.5532244438186427,-0.002278745221937384,-0.0045823256374879625,0.0045823256374879625,0.6362421211904326,True
womens,,Mens E-Mail,0.551415027925095,0.5476391626771802,0.0037758652479148447,0.007588929691887142,0.007588929691887142,0.4334622437258522,True
newbie,,Mens E-Mail,0.5015253203172666,0.5019712756969867,-0.0004459553797201421,-0.0008918953696535328,0.0008918953696535328,0.9266534965400259,True
history_segment,1) $0 - $100,Mens E-Mail,0.36250997324822826,0.3572702525110298,0.005239720737198472,0.010916720554376393,0.010916720554376393,0.25984828459857573,True
history_segment,2) $100 - $200,Mens E-Mail,0.22016238794762286,0.22697831596733314,-0.006815928019710288,-0.016359543173779502,0.016359543173779502,0.09131432154201988,True
history_segment,3) $200 - $350,Mens E-Mail,0.1919556953114,0.18980568853843988,0.0021500067729601224,0.005470713585408414,0.005470713585408414,0.5723097561077134,True
history_segment,4) $350 - $500,Mens E-Mail,0.09841836016332661,0.09969022810475922,-0.0012718679414326084,-0.004257423463175294,0.004257423463175294,0.6603535580144397,True
history_segment,5) $500 - $750,Mens E-Mail,0.07495189374384005,0.0775368440814794,-0.0025849503376393496,-0.009740129383845251,0.009740129383845251,0.3147469563475575,True
history_segment,"6) $750 - $1,000",Mens E-Mail,0.030224808748298682,0.029193654369661128,0.0010311543786375547,0.006073217597584176,0.006073217597584176,0.5307643716830627,True
history_segment,"7) $1,000 +",Mens E-Mail,0.021776880837283522,0.019525016427297474,0.002251864409986048,0.015834592826810663,0.015834592826810663,0.10219028983174135,True
zip_code,Rural,Mens E-Mail,0.1522035011967898,0.14732939078193935,0.004874110414850447,0.01365900039927897,0.01365900039927897,0.15860361211074556,True
zip_code,Surburban,Mens E-Mail,0.44590979490308347,0.4517506805594668,-0.0058408856563833544,-0.01174335672606268,0.01174335672606268,0.22548632004406502,True
zip_code,Urban,Mens E-Mail,0.4018867039001267,0.4009199286585938,0.0009667752415328801,0.0019722315768513645,0.0019722315768513645,0.8386959351072683,True
channel,Multichannel,Mens E-Mail,0.1209461679260337,0.12231296348446447,-0.001366795558430764,-0.004181536419632754,0.004181536419632754,0.6660376057659971,True
channel,Phone,Mens E-Mail,0.43366029943211154,0.4377640101379893,-0.004103710705877783,-0.008275992307117473,0.008275992307117473,0.39299728010697865,True
channel,Web,Mens E-Mail,0.4453935326418548,0.4399230263775462,0.005470506264308561,0.011013588354428299,0.011013588354428299,0.2556437931565993,True
recency,,Womens E-Mail,5.767849628278861,5.749694921618324,0.0181547066605372,0.005180013205688683,0.005180013205688683,0.5925450078153375,True
history,,Womens E-Mail,242.53663346892975,240.8826532432179,1.653980225711848,0.006510722458553667,0.006510722458553667,0.5011817053608175,True
mens,,Womens E-Mail,0.548931593958947,0.5532244438186427,-0.004292849859695691,-0.008630731202832915,0.008630731202832915,0.3725843739876541,True
womens,,Womens E-Mail,0.5501005283583486,0.5476391626771802,0.0024613656811683926,0.004946313992582152,0.004946313992582152,0.6093469919520156,True
newbie,,Womens E-Mail,0.5032496376303361,0.5019712756969867,0.0012783619333494034,0.0025567009140795606,0.0025567009140795606,0.791676454100097,True
history_segment,1) $0 - $100,Womens E-Mail,0.3569458082012437,0.3572702525110298,-0.000324444309786065,-0.0006771130829583109,0.0006771130829583109,0.944231096557439,True
history_segment,2) $100 - $200,Womens E-Mail,0.22102211623883666,0.22697831596733314,-0.005956199728496481,-0.014286147854542706,0.014286147854542706,0.13997640928568336,True
history_segment,3) $200 - $350,Womens E-Mail,0.19427689718053023,0.18980568853843988,0.004471208642090357,0.011350888687263824,0.011350888687263824,0.24092900619664306,True
history_segment,4) $350 - $500,Womens E-Mail,0.10230513863561977,0.09969022810475922,0.002614910530860548,0.008677899940116288,0.008677899940116288,0.3699725008534846,True
history_segment,5) $500 - $750,Womens E-Mail,0.07771075887221209,0.0775368440814794,0.0001739147907326849,0.0006499424018974358,0.0006499424018974358,0.94646545506285,True
history_segment,"6) $750 - $1,000",Womens E-Mail,0.027727123953803712,0.029193654369661128,-0.001466530415857415,-0.008819306801837288,0.008819306801837288,0.3622415793049417,True
history_segment,"7) $1,000 +",Womens E-Mail,0.020012156917753775,0.019525016427297474,0.00048714049045630106,0.0034993920645670033,0.0034993920645670033,0.7177045775000378,True
zip_code,Rural,Womens E-Mail,0.14873521297984757,0.14732939078193935,0.0014058221979082186,0.00395850560137286,0.00395850560137286,0.6825713387564522,True
zip_code,Surburban,Womens E-Mail,0.45120867816898114,0.4517506805594668,-0.0005420023904856852,-0.0010891197386245202,0.0010891197386245202,0.9104129931729911,True
zip_code,Urban,Womens E-Mail,0.40005610885117127,0.4009199286585938,-0.0008638198074225611,-0.0017628666291550237,0.0017628666291550237,0.8554863817224948,True
channel,Multichannel,Womens E-Mail,0.12058727264225931,0.12231296348446447,-0.0017256908422051548,-0.00528289712504171,0.00528289712504171,0.5852203930666314,True
channel,Phone,Womens E-Mail,0.4420442324776733,0.4377640101379893,0.004280222339684003,0.008622833281250204,0.008622833281250204,0.37302193766582004,True
channel,Web,Womens E-Mail,0.43736849488006735,0.4399230263775462,-0.0025545314974788624,-0.005147863897421752,0.005147863897421752,0.5948452196076311,True
