outcome,treatment_arm,covariate,theta,correlation,predicted_variance_reduction,total_variance_reduction,realised_variance_reduction,effect_raw,ci_low_raw,ci_high_raw,se_raw,p_value_raw,effect_cuped,ci_low_cuped,ci_high_cuped,se_cuped,p_value_cuped,ci_width_raw,ci_width_cuped,ci_narrowing,equivalent_sample_multiplier
visit,Mens E-Mail,history,9.134195036168932e-05,0.06666246893410172,0.004443884764390076,0.004443884764390171,0.004441366588251672,0.07658956365153125,0.06995314760976148,0.083225979693301,0.0033858878117283653,1.3644511962742907e-112,0.07641114745941802,0.0697894851774067,0.08303280974142933,0.0033783604804229414,1.439859297028472e-112,0.01327283208353952,0.013243324564022635,0.002223151723096062,1.0044611803254935
visit,Mens E-Mail,CUPAC (all covariates),1.0086562666527896,0.15935812676967495,0.02539501256753979,0.025395012567540065,0.025553848776614707,0.07658956365153125,0.06995314760976148,0.083225979693301,0.0033858878117283653,1.3644511962742907e-112,0.07612218999119187,0.06957111573000829,0.08267326425237545,0.0033423465466422488,4.217789582129399e-114,0.01327283208353952,0.013102148522367157,0.012859618813684803,1.0262239721964448
conversion,Mens E-Mail,history,1.1044850348990347e-05,0.02979588107299293,0.0008877945289159384,0.0008877945289156308,0.0008808195740063196,0.006805006519615695,0.005000070747732389,0.008609942291499001,0.0009208727857351216,1.5018157851543806e-13,0.006783432860043896,0.004979292173115303,0.00858757354697249,0.000920467142482419,1.7472135756027445e-13,0.003609871543766612,0.003608281373857186,0.00044050595433842155,1.0008815961011086
conversion,Mens E-Mail,CUPAC (all covariates),0.5940949457292637,0.0289863993994593,0.0008402113501449744,0.0008402113501448927,0.0008307682667896277,0.006805006519615695,0.005000070747732389,0.008609942291499001,0.0009208727857351216,1.5018157851543806e-13,0.006777018439819601,0.004972832565025872,0.00858120431461333,0.0009204901921194212,1.8433331136959557e-13,0.003609871543766612,0.003608371749587458,0.00041547023515109416,1.0008314590165557
spend,Mens E-Mail,history,0.0012228965198244435,0.020922546956069963,0.00043775297112895245,0.00043775297112880196,0.000433956848611583,0.7698271558945368,0.4851397325684076,1.0545145792206658,0.14524656024868676,1.1638149682254823e-07,0.7674384994278021,0.4828128537957844,1.0520641450598198,0.14521504219411457,1.2653144672519603e-07,0.5693748466522582,0.5692512912640354,0.00021700183797945805,1.0004341452489156
spend,Mens E-Mail,CUPAC (all covariates),0.34484386957607543,0.01385875728154675,0.00019206515338882508,0.00019206515338898722,0.0001850367758945426,0.7698271558945368,0.4851397325684076,1.0545145792206658,0.14524656024868676,1.1638149682254823e-07,0.7656381500774962,0.48097706680830804,1.0502992333466845,0.1452331213111822,1.3586516033649303e-07,0.5693748466522582,0.5693221665383765,9.252272767479308e-05,1.0001850710208395
visit,Womens E-Mail,history,8.353439339856918e-05,0.0633442957280449,0.004012499801282007,0.004012499801281932,0.004002943720149199,0.045233106587052985,0.03889349376208028,0.05157271941202569,0.003234462099090751,2.432447702312795e-44,0.04509494235220496,0.038768032801251434,0.05142185190315848,0.0032279809009645444,2.9885306570521294e-44,0.012679225649945405,0.012653819101907049,0.002003793349830141,1.0040190316777649
visit,Womens E-Mail,CUPAC (all covariates),0.9928235001852599,0.15416358603276203,0.02376641125848082,0.023766411258480558,0.02389036616562934,0.045233106587052985,0.03889349376208028,0.05157271941202569,0.003234462099090751,2.432447702312795e-44,0.04530783235430422,0.03904441417003865,0.051571250538569785,0.003195587673595063,1.5935575173613268e-45,0.012679225649945405,0.012526836368531136,0.012018816102931762,1.0244750849059678
conversion,Womens E-Mail,history,8.716959693215482e-06,0.026040436409410842,0.0006781043283925699,0.000678104328392326,0.0006752361518042038,0.003111057511085258,0.001498592366146803,0.004723522656023713,0.0008226770775551195,0.00015602839508556415,0.003096639832124352,0.0014847187321718309,0.004708560932076873,0.0008223995081154022,0.00016653404122441578,0.00322493028987691,0.003223842199905042,0.00033739953241263,1.0006756924037428
conversion,Womens E-Mail,CUPAC (all covariates),0.5181997515311156,0.021304109565077126,0.0004538650843608107,0.00045386508436062734,0.0004519952714895359,0.003111057511085258,0.001498592366146803,0.004723522656023713,0.0008226770775551195,0.00015602839508556415,0.0031016475792854806,0.001489546774952796,0.004713748383618165,0.0008224911919389175,0.00016279691572341752,0.00322493028987691,0.0032242016086653693,0.0002259525465799772,1.0004521996635993
spend,Womens E-Mail,history,0.001034651293586205,0.019508878564568607,0.0003805963428470845,0.00038059634284703936,0.00037869371404908314,0.4244122159365967,0.16895678988377877,0.6798676419894147,0.13033285852919116,0.0011293971023632475,0.42270092315649777,0.1672937916400858,0.6781080546729097,0.13030821906506285,0.0011802047342596457,0.510910852105636,0.5108142630328238,0.00018905269366287225,1.0003788371773068
spend,Womens E-Mail,CUPAC (all covariates),0.19045975697862433,0.009083799663990214,8.251541633550872e-05,8.251541633541581e-05,8.295909828992531e-05,0.4244122159365967,0.16895678988377877,0.6798676419894147,0.13033285852919116,0.0011293971023632475,0.424773976553223,0.16932915431449141,0.6802187987919546,0.1303274484547787,0.0011178746818038406,0.510910852105636,0.5108896444774631,4.150944941871959e-05,1.0000829659810728
