outcome,treatment_arm,subgroup,level,n_treated,n_control,control_mean,effect,ci_low,ci_high,relative_effect,p_value,harmful
visit,Mens E-Mail,mens,Bought mens,11739,11787,0.11453296004072283,0.08156551512751978,0.07236556547461348,0.09076546478042608,0.7121575754133893,7.400120531490901e-67,False
visit,Mens E-Mail,mens,No mens purchase,9568,9519,0.09580838323353294,0.0705795766326878,0.06105866813456056,0.08010048513081502,0.7366743311036789,2.8454580675480857e-47,False
visit,Mens E-Mail,womens,Bought womens,11749,11668,0.11141583818992115,0.08255811704031121,0.07340857011109303,0.0917076639695294,0.7409908535587317,5.472181816995978e-69,False
visit,Mens E-Mail,womens,No womens purchase,9558,9638,0.09981323926125753,0.06915516417042274,0.059550602958412975,0.0787597253824325,0.6928456052749837,7.457575738216815e-45,False
visit,Mens E-Mail,recency_bucket,1-3 months,7469,7438,0.13780586179080398,0.08498165996578994,0.07271707223052049,0.09724624770105939,0.616676670073703,1.7373078873978954e-41,False
visit,Mens E-Mail,recency_bucket,10-12 months,4477,4403,0.07903702021349081,0.07039340194420408,0.05725700567006428,0.08352979821834389,0.890638358506697,2.122015962764017e-25,False
visit,Mens E-Mail,recency_bucket,4-6 months,4673,4766,0.10574905581200168,0.07550495659972527,0.06142606299571644,0.08958385020373409,0.7140012364172432,1.1511688254154336e-25,False
visit,Mens E-Mail,recency_bucket,7-9 months,4688,4699,0.08193232602681422,0.07037142823939738,0.05743752280542435,0.0833053336733704,0.8588969903816318,2.8828427719115066e-26,False
visit,Mens E-Mail,newbie,Established customer,10621,10611,0.13372914899632457,0.07783285081536925,0.06772001135980164,0.08794569027093686,0.5820185905580572,6.986559274684661e-51,False
visit,Mens E-Mail,newbie,New customer,10686,10695,0.0788218793828892,0.0753050156199182,0.06676413610820273,0.08384589513163368,0.955382137669069,4.97210037349229e-66,False
visit,Mens E-Mail,channel,Multichannel,2577,2606,0.12854950115118957,0.08293672314062261,0.06259667976719277,0.10327676651405246,0.6451734343416792,1.841081833397071e-15,False
visit,Mens E-Mail,channel,Phone,9240,9327,0.0871662914120296,0.07560427135853316,0.06614767667153112,0.0850608660455352,0.8673567514895926,9.064385742102263e-55,False
visit,Mens E-Mail,channel,Web,9490,9373,0.11885202176464313,0.07556315210258555,0.06525205585966666,0.08587424834550443,0.6357750670175353,3.465177943599554e-46,False
visit,Mens E-Mail,history_segment,1) $0 - $100,7724,7612,0.08486600105097215,0.06855191712613816,0.058364243863561024,0.0787395903887153,0.8077665528857022,3.7336916480776975e-39,False
