treatment_arm,outcome,learner,n,qini,qini_null_mean,qini_null_std,qini_z_score,qini_percentile,p_value,p_value_normal,uplift_auc,top_10pct,top_20pct,top_30pct,beats_random,p_value_adjusted,p_value_normal_adjusted,significant
Mens E-Mail,visit,s_learner,42613,0.011595895426015839,0.000166674264616249,0.007574355066538882,1.5089365445634169,94.8,0.052,0.06565749984174345,0.005660403497213582,0.11603367997677,0.09744970650018164,0.08378579932111008,False,0.23432990212403215,0.2879171608638774,False
Mens E-Mail,visit,t_learner,42613,0.01859221929161883,0.000166674264616249,0.007574355066538882,2.4326222978905285,99.8,0.002,0.007494964174517756,0.009244216846938404,0.09830670387344406,0.09203997901849137,0.08825359397506713,True,0.009960079920032006,0.03691727049635041,True
Mens E-Mail,visit,x_learner,42613,0.011319203914733131,0.000166674264616249,0.007574355066538882,1.4724065022229087,93.60000000000001,0.064,0.07045556917667875,0.005200905462658513,0.10449120979454854,0.08672537419231713,0.08506400644848358,False,0.2815786276618242,0.30601390932024986,False
Mens E-Mail,visit,class_transform,42613,-0.002293842078499526,0.000166674264616249,0.007574355066538882,-0.3248482968517758,39.2,0.608,0.6273520552584306,-0.0010063342347597947,0.09338990056012042,0.08648857612618152,0.08018205758955574,False,0.990743851040768,0.9928138934618332,False
Mens E-Mail,visit,logistic_t_learner,42613,0.005952245978973129,0.000166674264616249,0.007574355066538882,0.7638368763455143,76.8,0.232,0.22248222911374738,0.0031241654894082482,0.12184239806991065,0.08937501890042154,0.08322673887037041,False,0.7328186744504319,0.7158474092460323,False
Womens E-Mail,visit,s_learner,42693,0.06373098552157767,-0.00012583850801256078,0.007621585894557308,8.378416895516638,100.0,0.002,2.6822169689570207e-17,0.029332237819627658,0.07131583580248918,0.06710083613053223,0.07451391314755937,True,0.009960079920032006,0.0,True
Womens E-Mail,visit,t_learner,42693,0.06028567399182054,-0.00012583850801256078,0.007621585894557308,7.926370355935225,100.0,0.002,1.1282198837287803e-15,0.02791768184479764,0.08375159261955294,0.07722109542484046,0.07346452769809202,True,0.009960079920032006,5.551115123125783e-15,True
Womens E-Mail,visit,x_learner,42693,0.05744068869687693,-0.00012583850801256078,0.007621585894557308,7.553090393693343,100.0,0.002,2.1252488370050698e-14,0.02649031961058962,0.06406583780294764,0.07118924903281769,0.07137010959440782,True,0.009960079920032006,1.0602629885170245e-13,True
Womens E-Mail,visit,class_transform,42693,0.05759342807064176,-0.00012583850801256078,0.007621585894557308,7.573130760078757,100.0,0.002,1.8216762359197955e-14,0.026655573856010265,0.055608892049570036,0.06945399159575101,0.07351726880798101,True,0.009960079920032006,9.103828801926284e-14,True
Womens E-Mail,visit,logistic_t_learner,42693,0.06414570092486445,-0.00012583850801256078,0.007621585894557308,8.432830164490348,100.0,0.002,1.6870209881855328e-17,0.03006411571750939,0.0711087629593572,0.07276385436994012,0.07258295858764131,True,0.009960079920032006,0.0,True
