ranking,budget,n_sends,cost_spent,profit_per_customer,standard_error,ci_low,ci_high,total_profit,baseline_profit,n_customers,budget_used,net_gain,return_on_spend
predicted profit,0.0,0,0.0,0.19583680653337085,0.02384178019648611,0.14910777602093778,0.24256583704580392,12533.555618135735,12533.555618135735,64000,0.0,0.0,
predicted profit,320.0,3200,320.0,0.20123864728950303,0.02410153471133386,0.15400050728314668,0.24847678729585937,12879.273426528194,12533.555618135735,64000,1.0,345.7178083924591,1.0803681512264347
predicted profit,640.0,6400,640.0,0.21966712170998237,0.025501607095562134,0.1696848902547895,0.26964935316517524,14058.695789438872,12533.555618135735,64000,1.0,1525.1401713031373,2.383031517661152
predicted profit,960.0,9600,960.0,0.22523922326473894,0.026444847930885255,0.17340827374356527,0.2770701727859126,14415.310288943292,12533.555618135735,64000,1.0,1881.754670807557,1.9601611154245384
predicted profit,1280.0,12800,1280.0,0.21945320051703698,0.025819328509464393,0.16884824653347855,0.27005815450059545,14045.004833090366,12533.555618135735,64000,1.0,1511.4492149546313,1.1808196991833058
predicted profit,1600.0,16000,1600.0,0.21733424551703845,0.026208311532370354,0.1659668988179868,0.2687015922160901,13909.391713090461,12533.555618135735,64000,1.0,1375.836094954726,0.8598975593467038
predicted profit,1920.0,19200,1920.0,0.23225060635319256,0.027324112855445178,0.17869632924701212,0.285804883459373,14864.038806604323,12533.555618135735,64000,1.0,2330.483188468588,1.2137933273273898
predicted profit,2240.0,22400,2240.0,0.2332114453339687,0.02741555585343644,0.179477943245087,0.28694494742285037,14925.532501373997,12533.555618135735,64000,1.0,2391.9768832382615,1.067846822874224
predicted profit,2560.0,25600,2560.0,0.24083967631833328,0.027636700290206977,0.18667273909799995,0.29500661353866664,15413.73928437333,12533.555618135735,64000,1.0,2880.1836662375954,1.1250717446240608
predicted profit,2880.0,28800,2880.0,0.24264678741107823,0.027860820160979783,0.18804058331581042,0.29725299150634604,15529.394394309007,12533.555618135735,64000,1.0,2995.838776173272,1.0402217972823862
