treatment_arm,spend_effect,spend_ci_low,spend_ci_high,profit_per_email,profit_ci_low,profit_ci_high,p_value,break_even_spend,break_even_margin,break_even_margin_low,break_even_margin_high,margin,cost,profitable
Mens E-Mail,0.7698271558945368,0.4851397325684076,1.0545145792206658,0.02698271558945367,-0.0014860267431592508,0.05545145792206659,0.06321707416706956,0.5,0.06494964436776741,0.04741518134054844,0.10306309016433673,0.1,0.05,False
Womens E-Mail,0.4244122159365967,0.16895678988377877,0.6798676419894147,-0.0075587784063403315,-0.033104321011622126,0.017986764198941466,0.5619451672389311,0.5,0.11780999255560906,0.07354372661962706,0.29593365282563533,0.1,0.05,False
Mens E-Mail,0.7698271558945368,0.4851397325684076,1.0545145792206658,-0.023017284410546346,-0.05148602674315927,0.005451457922066576,0.11304216427732856,1.0,0.12989928873553483,0.09483036268109687,0.20612618032867347,0.1,0.1,False
Womens E-Mail,0.4244122159365967,0.16895678988377877,0.6798676419894147,-0.05755877840634034,-0.08310432101162214,-0.03201323580105854,1.0067164371341932e-05,1.0,0.23561998511121812,0.14708745323925412,0.5918673056512707,0.1,0.1,False
Mens E-Mail,0.7698271558945368,0.4851397325684076,1.0545145792206658,-0.12301728441054632,-0.15148602674315925,-0.0945485420779334,2.5537647083133585e-17,2.0,0.25979857747106966,0.18966072536219375,0.41225236065734694,0.1,0.2,False
Womens E-Mail,0.4244122159365967,0.16895678988377877,0.6798676419894147,-0.1575587784063403,-0.1831043210116221,-0.1320132358010585,1.3824613710071104e-33,2.0,0.47123997022243624,0.29417490647850825,1.1837346113025413,0.1,0.2,False
Mens E-Mail,0.7698271558945368,0.4851397325684076,1.0545145792206658,-0.2230172844105463,-0.25148602674315923,-0.19454854207793337,4.842442067705968e-53,2.9999999999999996,0.3896978662066044,0.2844910880432906,0.6183785409860204,0.1,0.3,False
Womens E-Mail,0.4244122159365967,0.16895678988377877,0.6798676419894147,-0.2575587784063403,-0.2831043210116221,-0.23201323580105848,1.6484825557903877e-86,2.9999999999999996,0.7068599553336543,0.44126235971776234,1.7756019169538118,0.1,0.3,False
Mens E-Mail,0.7698271558945368,0.4851397325684076,1.0545145792206658,0.0654740733841805,0.02277095988526112,0.10817718688309988,0.0026559249551067546,0.3333333333333333,0.06494964436776741,0.04741518134054844,0.10306309016433673,0.15000000000000002,0.05,True
Womens E-Mail,0.4244122159365967,0.16895678988377877,0.6798676419894147,0.013661832390489514,-0.024656481517433188,0.051980146298412216,0.48467014578942585,0.3333333333333333,0.11780999255560906,0.07354372661962706,0.29593365282563533,0.15000000000000002,0.05,False
